10/17/2023 , 6:53 PM , operateur1 , 123456 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 734 , 1.5142857142857018 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.6142857142857086 , 6.785714285714279 , 9.57142857142857 , 9.57142857142857 , 9.57142857142857 , 9.57142857142857 , 9.57142857142857
0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 0  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 391  ppm (mg/L) , 407  ppm (mg/L) , 280  ppm (mg/L) , 280  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L)
0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , 0  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm)
0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , 0  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm
444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 444  NTU , 35.09114191808428  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 21.063889317802627  NTU , 22.96976602979742  NTU , 24.189527125474086  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU
10/17/2023 , 7:30 PM , operateur1 , 123456
9.57142857142857 , 9.57142857142857 ,  , 
278  ppm (mg/L) , 278  ppm (mg/L) ,  , 
-0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) ,  , 
-12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm ,  , 
23.50341150915596  NTU , 23.50341150915596  NTU ,  , 
10/17/2023 , 7:32 PM , operateur1 , 123456
9.57142857142857 , 9.57142857142857 , 9.57142857142857 , 
278  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L) , 
-0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , 
-12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , 
23.50341150915596  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU , 
10/17/2023 , 7:40 PM , operateur1 , 123456 ,  , 
9.57142857142857 , 9.57142857142857 , 9.57142857142857 , 9.57142857142857 , 9.57142857142857 , 9.57142857142857
278  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L) , 278  ppm (mg/L)
-0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm) , -0.5474784653405966  mg/L (ppm)
-12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm , -12.01201201201211  µS/Cm
23.50341150915596  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU , 23.50341150915596  NTU
